latitude,longitude,blue_band,green_band,depth,stumpf_ratio,log_blue,log_green,bg_ratio
17.79375,70.75208333,0.0387,0.0253,977,1.131557084,-3.251915679,-3.676950883,1.529644269
7.54375,82.16875,0.0452,0.0322,3606,1.097676818,-3.096658192,-3.435788826,1.403726708
18.91875,86.08541667,0.0351,0.02715,1939,1.077793018,-3.349554149,-3.606378233,1.29281768
7.252083333,82.54375,0.0637,0.0506,3892,1.058673758,-2.753570716,-2.983803703,1.258893281
6.002083333,73.83541667,0.0482,0.0378,2293,1.066913336,-3.032396258,-3.275446176,1.275132275
18.46041667,71.58541667,0.0414,0.0308,86,1.086291735,-3.184474398,-3.480240589,1.344155844
6.210416667,79.91875,0.0692,0.0504,68,1.08087,-2.670754416,-2.987764104,1.373015873
6.502083333,72.58541667,0.0552,0.0424,502,1.070404095,-2.896792326,-3.160606917,1.301886792
6.54375,73.58541667,0.042,0.02735,1346,1.129643348,-3.170085661,-3.59903875,1.535648995
7.252083333,78.33541667,0.0359,0.02805,2336,1.074010049,-3.327017983,-3.573766647,1.279857398
20.54375,87.25208333,0.0538,0.0535,26,1.001405091,-2.922481812,-2.928073625,1.005607477
7.710416667,79.41875,0.043,0.0318,1700,1.087219762,-3.146555163,-3.448288989,1.352201258
9.54375,71.75208333,0.041,0.0286,2780,1.107402823,-3.194183212,-3.554348561,1.433566434
9.127083333,83.21041667,0.0916,0.0818,3726,1.025691849,-2.390324007,-2.503478035,1.119804401
14.75208333,82.00208333,0.0521,0.0406,3220,1.067335988,-2.95459033,-3.203987212,1.283251232
19.96041667,71.12708333,0.0406,0.03475,64,1.043850231,-3.203987212,-3.359575707,1.168345324
23.21041667,68.25208333,0.0736,0.0822,19,0.97493618,-2.609110253,-2.498599977,0.895377129
19.75208333,71.58541667,0.052,0.0477,37,1.022332174,-2.95651156,-3.042823881,1.090146751
20.21041667,72.66875,0.0784,0.0992,21,0.948812917,-2.545931352,-2.310617265,0.790322581
22.75208333,70.04375,0.0886,0.1072,13,0.959234915,-2.423623421,-2.23305903,0.826492537
6.29375,74.83541667,0.07,0.063,2748,1.025430145,-2.659260037,-2.764620553,1.111111111
16.00208333,84.16875,0.0427,0.0279,3050,1.127852196,-3.153556359,-3.57912859,1.53046595
18.75208333,87.21041667,0.0454,0.0343,2203,1.079308408,-3.092243174,-3.372609925,1.32361516
9.502083333,81.00208333,0.0712,0.0645,2027,1.023718631,-2.642262461,-2.741090055,1.103875969
6.752083333,74.96041667,0.056,0.05385,2680,1.009821199,-2.882403588,-2.921552875,1.03992572
16.66875,83.79375,0.04165,0.0289,2901,1.108643574,-3.17845391,-3.543913684,1.441176471
19.41875,72.66875,0.07675,0.0942,19,0.954928964,-2.567201893,-2.362335097,0.814755839
7.710416667,78.04375,0.0638,0.0587,48,1.020457875,-2.752002089,-2.835315552,1.086882453
6.79375,81.91875,0.0557,0.04395,33,1.062628662,-2.887775132,-3.124702655,1.267349261
12.41875,81.08541667,0.05,0.0478,3392,1.01163617,-2.995732274,-3.040729639,1.046025105
